label,message,msg_new
0,1974年毕业于辽宁省建平县第一中学后入伍,1974 年 毕业 于 辽宁省 建平县 第一 中学 后 入伍
0,不错哦这是满了18元就送一张照片,不错 哦 这 是 满 了 18 元 就 送 一张 照片
0,也应在晚10点前对皮肤进行彻底清洁和保养,也 应 在 晚 10 点前 对 皮肤 进行 彻底 清洁 和 保养
0,具体内容：负责花卉美食的资料收集,具体内容 ： 负责 花卉 美食 的 资料 收集
0,全市各单位xxx余名执法人员参加,全市 各 单位 xxx 余名 执法人员 参加
0,摳完腳後挖耳朵　浙江男耳內發霉「長白毛」,摳 完腳 後 挖耳朵 　 浙江 男耳內 發霉 「 長 白毛 」
0,但是想想跟租房和起早挤地铁,但是 想想 跟 租房 和 起 早 挤 地铁
0,一个小朋友2300点时我跟他说过要买股票,一个 小朋友 2300 点时 我 跟 他 说 过 要 买 股票
0,实现通过防止违纪阻却违法的目的,实现 通过 防止 违纪 阻 却 违法 的 目的
0,新一期HighlightReel来袭,新一期 HighlightReel 来袭
0,商业秘密的秘密性那是维系其商业价值和垄断地位的前提条件之一,商业秘密 的 秘密性 那 是 维系 其 商业价值 和 垄断 地位 的 前提条件 之一
0,带给我们大常州一场壮观的视觉盛宴,带给 我们 大 常州 一场 壮观 的 视觉 盛宴
0,有原因不明的泌尿系统结石等,有 原因 不明 的 泌尿系统 结石 等
1,南小门苹果手机店    电话xxxxxxxxxxx xS原版港版，大陆版xxx元。  x代原版港版，大陆 版xxxx元。 x代原版(,南 小门 苹果 手机店         电话 xxxxxxxxxxx   xS 原版 港版 ， 大陆 版 xxx 元 。     x 代 原版 港版 ， 大陆   版 xxxx 元 。   x 代 原版 (
1,您好：我这段时间在雅安老家，自家茶园即将收获今年第一批甘露茶，全嫩芽，纯天然、无添加，有意品尝的朋友请联系我，祝您羊年大吉！,您好 ： 我 这 段时间 在 雅安 老家 ， 自家 茶园 即将 收获 今年 第一批 甘露 茶 ， 全 嫩芽 ， 纯天然 、 无 添加 ， 有意 品尝 的 朋友 请 联系 我 ， 祝您 羊年 大吉 ！
1,过年回来了吧！好消息！只要您在银|行有过代|款记录，凭身份证当天可放xx-xxxW。询：xxxxxxxxxxx【王丽】,过年 回来 了 吧 ！ 好消息 ！ 只要 您 在 银 | 行有 过代 | 款 记录 ， 凭 身份证 当天 可放 xx - xxxW 。 询 ： xxxxxxxxxxx 【 王丽 】
1,值此三八妇女节来临之际，为答谢新老学员多年对功成驾校的支持，x月x-x日驾照报名优惠，报名费xxxx，电话xxxxxxxxxxx【功成驾校】,值此 三八妇女节 来临 之际 ， 为 答谢 新老 学员 多年 对 功成 驾校 的 支持 ， x 月 x - x 日 驾照 报名 优惠 ， 报名费 xxxx ， 电话 xxxxxxxxxxx 【 功成 驾校 】
1,x.x了，格力为您价保！凡预交xx元认筹（可抵购机款！必须找我报告哦！不然认筹不到啊！），立送xxx元喜庆版“醉三秋”酒两瓶。x号当天,x . x 了 ， 格力 为 您 价保 ！ 凡 预交 xx 元 认筹 （ 可抵 购机 款 ！ 必须 找 我 报告 哦 ！ 不然 认筹 不到 啊 ！ ） ， 立送 xxx 元 喜庆 版 “ 醉 三秋 ” 酒 两瓶 。 x 号 当天
1,你好；我是广东介仁门业，专业封闭阳台，厨房推拉门，卧室门及卫生间门，地址国美电器家园建材市D幢—楼，欢迎来门市选财购！联系电话xxxx,你好 ； 我 是 广东 介仁门业 ， 专业 封闭 阳台 ， 厨房 推拉门 ， 卧室 门及 卫生间 门 ， 地址 国美 电器 家园 建材 市 D 幢 — 楼 ， 欢迎 来 门市 选财购 ！ 联系电话 xxxx
1,哥哥你好，我是兼职的宜昌市内上门服务。 需要服务吗全套服务： 吐水，漫游，胸推，开国大点，中原一点红 ，口沙，冰火，雨后春笋，双龙洗珠,哥哥 你好 ， 我 是 兼职 的 宜昌市 内 上门服务 。   需要 服务 吗 全套 服务 ：   吐水 ， 漫游 ， 胸 推 ， 开国 大 点 ， 中原 一点红   ， 口沙 ， 冰火 ， 雨后春笋 ， 双龙 洗珠
1,特大好消息，白城新一家无抵押无担保借款公司已经开业，利率x.xx三天内%xxx下款，x-xx万手续简单，咨询电话:张经理xxxxxxxxxxx,特大 好消息 ， 白城 新 一家 无 抵押 无担保 借款 公司 已经 开业 ， 利率 x . xx 三天 内 % xxx 下款 ， x - xx 万 手续 简单 ， 咨询电话 : 张 经理 xxxxxxxxxxx
1,新春伊始，新年新气象，锦帆一一会所，新面孔，新服装，全新定位，全新全方位服务！！??刘能真诚恭候！,新春伊始 ， 新年 新气象 ， 锦帆 一 一会 所 ， 新面孔 ， 新 服装 ， 全新 定位 ， 全新 全方位 服务 ！ ！ ? ? 刘能 真诚 恭候 ！
1,入阿里巴巴诚信通会员，即可获得新年豪礼相赠：企业APP免费使用一年+买家求购信息免费赠送x个月，开年豪礼，不容错过，活动时间仅限一天，,入 阿里巴巴 诚信通 会员 ， 即可 获得 新年 豪礼 相赠 ： 企业 APP 免费 使用 一年 + 买家 求购 信息 免费 赠送 x 个 月 ， 开年 豪礼 ， 不 容错过 ， 活动 时间 仅限 一天 ，
1,汉口一间房，不如世茂外滩江景房！凭老房产证即可零首付入住世茂外滩xxx-xxx㎡内环江景房，鹦鹉洲大桥地铁x号线接驳xxxxxxxxxx,汉口 一间 房 ， 不如 世茂 外滩 江景 房 ！ 凭 老 房产证 即可 零首付 入住 世茂 外滩 xxx - xxx ㎡ 内 环江 景房 ， 鹦鹉 洲 大桥 地铁 x 号线 接驳 xxxxxxxxxx
1,百盛欧诗漫三八妇女节活动开始了，满xxx送xx元的会员产品呦，希望亲前来选购,百盛 欧诗漫 三八妇女节 活动 开始 了 ， 满 xxx 送 xx 元 的 会员 产品 呦 ， 希望 亲 前来 选购
1,尊敬的用户:因您的话费积分没有兑换即将失效将清零，请及时登 wapz.xxxxxmrz.com 下载安装客户端兑换xxx元礼包【中国移,尊敬 的 用户 : 因 您 的 话费 积分 没有 兑换 即将 失效 将 清零 ， 请 及时 登   wapz . xxxxxmrz . com   下载安装 客户端 兑换 xxx 元 礼包 【 中国 移
1,公安大楼还有套房子两房朝南一房朝北，面积xxx平，报价xxx万，十楼的！,公安 大楼 还有 套 房子 两房 朝南 一房 朝北 ， 面积 xxx 平 ， 报价 xxx 万 ， 十楼 的 ！
1,x.x逛装修，全家健康游！名仕装饰于x月x号妇女节，推出健康《参观样板房——家装咨询会》。带您体验健康装修工地，不同风格样板房，现场女,x . x 逛 装修 ， 全家 健康 游 ！ 名仕 装饰 于 x 月 x 号 妇女节 ， 推出 健康 《 参观 样板房 — — 家装 咨询会 》 。 带 您 体验 健康 装修工 地 ， 不同 风格 样板房 ， 现场 女
1,xxxxxxxxxxxxxxxxxxx丁泽平，建行，你打到这个帐上，完了回信息,xxxxxxxxxxxxxxxxxxx 丁泽平 ， 建行 ， 你 打 到 这个 帐 上 ， 完 了 回 信息
1,安徽宏伟新材料公司，全国唯一企业化规模化专业化的尼龙再生粒子生产厂家，我们的努力就是您无悔的选择$我们证照齐全，可开发票，产量充足,安徽 宏伟 新 材料 公司 ， 全国 唯一 企业化 规模化 专业化 的 尼龙 再生 粒子 生产厂家 ， 我们 的 努力 就是 您 无悔 的 选择 $ 我们 证照 齐全 ， 可 开发票 ， 产量 充足
