label,message,msg_new
1,您好！本周末我们举办[元宵喜乐会，开心猜灯谜活动]，凡成功认购客户可多享一年物业费！xx平三房,您好 本 周末 举办 元宵 喜乐 开心 猜 灯谜 活动 凡 成功 认购 客户 可多享 一年 物业费 平 三房
1,尊敬的顾客，感谢您致电斯帝罗兰，本店地址：金藏路xxx号xx区x层Axxxx-Axxxx，我们将竭诚为您提供最优质的产品与服务，欢迎您的来电,尊敬 的 顾客 感谢您 致电 斯帝 罗兰 本店 地址 金藏路 号 区层 将 竭诚 为 提供 最 优质 的 产品 与 服务 欢迎您 的 来电
1,【传奇模式】xxxx年最新盈利模式与您相约x月x-xx号广州美博会，到会即可学会十倍业绩倍增的全新模式！独家招商秘籍，免费席位预定中，骄阳,传奇 模式 年 最新 盈利模式 与 相约 月 号 广州 美博会 到 即可 学会 十倍 业绩 倍增 的 全新 模式 独家 招商 秘籍 免费 席位 预定 中 骄阳
1,姐姐你好！百合美容养生会所xxxx年了，感谢新老顾客长期以来对本店照顾现送你价值xxx元的礼物，只需x元钱你就可在x月x号到x月x号到,姐姐 你好 百合 美容 养生 所 年 感谢 新老 顾客 对 本店 照顾 现送 价值 元 的 礼物 只 需元 钱 就 可 在 月 号 到 月 号 到
0,推动国内机器人快速发展的原因除了招工难,推动 国内 机器人 快速 发展 的 原因 招工难
1,方林装饰于x月x日下午x点在铁西兴华街小北一路千缘财富商汇x楼举办大型团购活动，自带户型图见面有礼品相送，咨询热线：xxxxxxxxx,方林 装饰 于 月 日 下午 点 在 铁西 兴华 街小北 一路 千缘 财富 商汇楼 举办 大型 团购 活动 自带 户型图 见面 有 礼品 相 送 咨询 热线
1,您好，我是安居财务董淑云，我们公司小规模做帐报税x年付xxxx，x年付xxxx元，一般纳税人月付xxx元，年付七折 还可以代理公司注册,您好 是 安居 财务 董淑云 公司 小规模 做 帐 报税 年付 年 付元 纳税人 月付 元年 付 七折 还 代理 公司 注册
0,新法速递|最高院发布关于审理拒不执行判决、裁定刑事案件适用法律若干问题的解释,新法 速递 最高院 发布 审理 拒不执行 判决 裁定 刑事案件 适用法律 若干 问题 的 解释
1,信用社卡号xxxxxxxxxxxxxxxxxxx杨立祥,信用社 卡号 杨立祥
0,”\nxxxx年x月xx日饭半小时后吃点葡萄柚盛时期的建筑最多,年月日 饭 半小时 后 吃 点 葡萄柚 盛 时期 的 建筑 最 多
0,在旅游市场众多的选择中如何才能正确的百里挑一,在 旅游 市场 众多 的 选择 中 正确 的 百里挑一
0,D7去了第一次来若尔盖没去的花湖,去 第一次 来 若尔盖 没去 的 花湖
1,金顶玫瑰园睢宁东大门，春节期间推出xxxx元/平米起！准现房首付x万元起 就可购房，看房即有礼，购房享豪礼！电话：xxxxxxxx,金顶 玫瑰园 睢宁 东 大门 春节 期间 推出 元 平米 起 准现房 首付 万元 起 就 可 购房 看房 即 有 礼 购房 享豪礼 电话
0,Oculus快速发展软件架构和应用程序接口,快速 发展 软件架构 和 应用 程序接口
0,大早晨5点半给我打电话让我上班,大 早晨 点半 给 打电话 让 上班
0,汪峰已经带着章子怡逛常州了,汪峰 已经 带 着 章子怡 逛 常州
1,转自:(xxxxxxxxxxx) xxx期，猪牛两边开，三九中特码，买你我，问本期，三六四九好马出，九尾旺出二三五，鸡家去鸡家中鸡，买,转自期 猪 牛 两边 开 三九 中特码 买 问 本期 三 六 四九 好马出 九尾 旺出 二 三五 鸡家 去 鸡 家中 鸡买
1,★连续七年扬州市艺考生高考文化课辅导成绩进步率百分之百. ?咨询热线:xxxxxxxx    xxxxxxxxxxx ◎大桥东:翠月嘉,连续 七年 扬州市 艺 考生 高考 文化课 辅导 成绩 进步 率 百分之百 咨询 热线 大桥 东翠月 嘉
1,新春最强钜献，兰亭御湖城xx-xxx㎡，CBD絕版湖景三居，xxxx/㎡起，喜洋洋貴賓专线：xxxxxxx,新春 最强 钜 献 兰亭 御 湖城 絕版 湖景 三居起 喜洋洋 貴賓 专线
0,有评论说的特别好浮生尽最虐的地方在于沈岸不知道真相却爱上了宋凝,有 评论 说 的 特别 好 浮生 尽 最虐 的 地方 在于 沈岸 不 知道 真相 却 爱 上 宋凝
1,感谢致电如家快捷酒店（二环东路店），优雅的环境，优质的服务，让您享受家一般的温馨，订房热线：xxxxxxxx，地址：历城区二环东路xxxx号,感谢 致电 如 家 快捷酒店 二环 东路 店 优雅 的 环境 优质 的 服务 让 享受 家 的 温馨 订房 热线 地址 历城区 二环 东路 号
1,您好，我是刚刚给您打电话的维动公司的李娟，做低利息信誉贷款的，利息是x.xx，无担保无抵押，需要提供身份证复印件，公司半年流水账，近一,您好 是 刚刚 给 打电话 的 维动 公司 的 李娟 做 低 利息 信誉 贷款 的 利息 是 无担保 无 抵押 需要 提供 身份证 复印件 公司 半年 流水账 近一
1,沪深A股T＋O双向交易,沪 深股 双向 交易
1,红豆居家， x月?x日到x日买文胸就送配套短裤，单买x件x折，特价文胸x.x折，消费满xxx元送精美礼品.地址: 上海吴泾永德生活广,红豆 居家 月 日 到 日 买 文胸 就 送 配套 短裤 单买 件 折 特价 文胸 折 消费 满元 送 精美 礼品 地址 上海 吴泾 永德 生活 广
1,老师您好！《临床骨科手术学》招聘主编，副主编。送两本书一个证书、可晋高级职称、代写发国家级核心期刊、实用新型专利等！谢谢、打扰了。,老师 您好 临床 骨科 手术学 招聘 主编 副主编 送 两本书 一个 证书 可晋 高级职称 代写 发 国家级 核心 期刊 实用新型 专利 等 谢谢 打扰
0,有大院子、大house的豪们可上,有大 院子 大 的 豪们 可上
0,十年之前有个女孩子被强奸了,十年 之前 有个 女孩子 被 强奸
1,你好，我是购物中心珀莱雅导购刘海燕，本月x号到x号有一场大型活动，非常优惠，买够xxx当场减xxx现金。海能量润护霜，四色眼影x.x折,你好 是 购物中心 珀莱雅 导购 刘 海燕 本月 号 到 号 有 一场 大型 活动 优惠 买够 减 现金 海 能量 润护霜 四色 眼影 折
0,手机里全是我们家小羊羊的照片,手机 里 全是 家小 羊羊 的 照片
1,价优惠哦，更多优惠请到美美家居x楼x号澳都橱柜了解，联系电话xxxxxxx,价 优惠 更 多 优惠 请 到 美美 家居 楼号 澳 都 橱柜 了解 联系电话
0,PS：顺便开拓下一届毕业生就业市场,顺便 开拓 下 一届 毕业生 就业 市场
0,距离xxxx年结束还有xxx天~,距离 年 结束 天
0,1964年少将、原空军学院顾问张翼同志逝世,年 少将 原 空军 学院 顾问 张翼 同志 逝世
1,土门新区纯一层临街现铺xx-xxx平开年劲爆認筹中 欢迎致电考察xxxxxxxxxxx,土门 新区 纯 一层 临街 现 铺平 开年 劲 爆認 筹中 欢迎 致电 考察
1,【海信GIADA·钜惠丽人节】亲爱的GIADA LADY:海信GIADA倾力回馈，钜惠丽人节盛大开幕！全场x.x折，商场多倍积分，满x,海信 钜 惠 丽人 节 亲爱 的 海信 倾 力回馈 钜 惠 丽人 节 盛大 开幕 全场 折 商场 多倍 积分 满
0,没事起码我还能用自己手机截到图,没事 起码 还 能 用 手机 截到 图
0,全南京唯一的“米其林”持星大厨IgnacioVirgen先生,全 南京 唯一 的 米其林 持星 大厨 先生
1,你好！我司是一般纳税人现有多余xx%ˇ专·用I进-項。点/低：xxx-xxxx-xxxx赵经理,你好 我司 是 纳税人 现有 多余 专用 进項 点 低 赵 经理
0,大家一致认为杭州地铁不是惠民的,一致 认为 杭州 地铁 惠民 的
